ID,The Entity that I work for is:,The Functional area that I work in is best described as:,My Role is:,I have a clear understanding of who is leading the ERP Implementation and is accountable for the results:,Leadership has a shared vision for the ERP Implementation project priorities and direction:,My manager believes that the ERP Implementation Project will benefit:,I understand the benefits that the ERP Implementation Project will deliver:,I understand What is going to happen and When in the ERP Implementation Project:,I understand how I will be impacted in my role by the ERP Implementation Projects new Technology and Process’:,I have a clear understanding of what is expected of me in my role to ensure the success of the ERP Implementation Project:,I am receiving the right amount of information to support the ERP Implementation Project and be effective in my role:,I am engaged and excited about the ERP Implementation Project:,I know Where and Who to go to when I have a question regarding the ERP Implementation Project:,Created,Modified,Item Type,Path
29,White Plains,Clinical,Individual Contributor,Disagree,Disagree,Don’t Know,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,7/12/2021 6:53,7/12/2021 6:53,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
30,MMC,Other,Clinician,Agree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
31,MMC,Other,Director,Strongly Disagree,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Don’t Know,Strongly Disagree,Strongly Disagree,Don’t Know,Don’t Know,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
32,White Plains,Supply Chain,Individual Contributor,Don’t Know,Don’t Know,Strongly Disagree,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t Know,Strongly Disagree,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
33,MMC,Other,Director,Disagree,Disagree,Don’t Know,Disagree,Disagree,Disagree,Disagree,Disagree,Don’t Know,Disagree,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
34,MMC,Other,Manager,Strongly Disagree,Disagree,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t Know,Don’t Know,Disagree,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
35,St. Luke’s,Supply Chain,Manager,Strongly Agree,Don’t Know,Strongly Agree,Strongly Agree,Agree,Don’t Know,Strongly Agree,Don’t Know,Don’t Know,Strongly Agree,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
36,MMC,Clinical,Individual Contributor,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
37,CMO,Other,Manager,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
38,MMC,Clinical,Manager,Don’t Know,Don’t Know,Don’t Know,Agree,Don’t Know,Don’t Know,Agree,Disagree,Agree,Strongly Disagree,7/12/2021 6:54,7/12/2021 6:54,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
39,MMC,Clinical,Director,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Don’t Know,7/12/2021 6:55,7/12/2021 6:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
40,MMC,Other,Manager,Disagree,Agree,Agree,Don’t Know,Agree,Agree,Don’t Know,Don’t Know,Don’t Know,Agree,7/12/2021 6:55,7/12/2021 6:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
41,New Rochelle,Finance/Accounting,Clinician,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7/12/2021 6:55,7/12/2021 6:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
42,MMC,Finance/Accounting,Manager,Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,7/12/2021 6:55,7/12/2021 6:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
43,MMC,Supply Chain,Individual Contributor,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,7/12/2021 6:55,7/12/2021 6:55,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
44,Nyack,Purchasing/Procurement,Director,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,7/12/2021 6:56,7/12/2021 6:56,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
45,MMC,Finance/Accounting,Manager,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Don’t Know,Don’t Know,Agree,7/12/2021 6:56,7/12/2021 6:56,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
46,MMC,Clinical,Manager,Don’t Know,Strongly Disagree,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Don’t Know,Strongly Disagree,Don’t Know,Don’t Know,7/12/2021 6:57,7/12/2021 6:57,Item,sites/modusc4ginternal/Lists/ChangeReadinessSurveyOption
